row_id,attacker_model,victim_model,dataset,attack_type,attack_method,variant,similarity
8,Facenet512,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,0.23119333386421204
8,Facenet512,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.21361103653907776
8,Facenet512,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.07502365112304688
12,Facenet512,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.2782251834869385
12,Facenet512,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,-0.035195156931877136
12,Facenet512,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.15679621696472168
12,Facenet512,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.11099065095186234
26,Facenet512,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.06494925171136856
26,Facenet512,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,0.04844972491264343
26,Facenet512,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.04360121116042137
26,Facenet512,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.03465329110622406
34,Facenet512,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.31213921308517456
34,Facenet512,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,0.07666544616222382
34,Facenet512,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.2543794512748718
34,Facenet512,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.19326037168502808
3,Facenet512,ArcFace,vggface2_pairs,impersonation_attack,ATT,vanilla,0.16282585263252258
3,Facenet512,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,0.12675800919532776
3,Facenet512,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.10206130146980286
3,Facenet512,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.08789610862731934
5,Facenet512,ArcFace,vggface2_pairs,impersonation_attack,ATT,vanilla,0.11762706935405731
5,Facenet512,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,0.11535440385341644
5,Facenet512,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.10293836891651154
5,Facenet512,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.060296427458524704
17,Facenet512,ArcFace,vggface2_pairs,impersonation_attack,ATT,vanilla,0.5819166898727417
17,Facenet512,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,0.06663867086172104
17,Facenet512,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.2842159569263458
17,Facenet512,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.10845936089754105
19,Facenet512,ArcFace,vggface2_pairs,impersonation_attack,ATT,vanilla,0.3054937720298767
19,Facenet512,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,0.08366763591766357
19,Facenet512,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.12964025139808655
19,Facenet512,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.010781826451420784
21,Facenet512,ArcFace,vggface2_pairs,impersonation_attack,ATT,vanilla,0.3588630259037018
21,Facenet512,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,0.12303943186998367
21,Facenet512,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.10973666608333588
21,Facenet512,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.012157872319221497
6,Facenet512,ArcFace,lfw_pairs,dodging_attack,ATT,vanilla,0.4926486611366272
6,Facenet512,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.2823568284511566
6,Facenet512,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.357585608959198
6,Facenet512,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.1976121962070465
9,Facenet512,ArcFace,lfw_pairs,dodging_attack,ATT,vanilla,0.14577841758728027
9,Facenet512,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.28005409240722656
9,Facenet512,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.3492942452430725
9,Facenet512,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.34722527861595154
15,Facenet512,ArcFace,lfw_pairs,dodging_attack,ATT,vanilla,0.4642430543899536
15,Facenet512,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.2025265395641327
15,Facenet512,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.15317794680595398
15,Facenet512,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.2726284861564636
16,Facenet512,ArcFace,lfw_pairs,dodging_attack,ATT,vanilla,0.4181095361709595
16,Facenet512,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.14054569602012634
16,Facenet512,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.28711408376693726
16,Facenet512,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.33357810974121094
23,Facenet512,ArcFace,lfw_pairs,dodging_attack,ATT,vanilla,0.36415284872055054
23,Facenet512,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.30274102091789246
23,Facenet512,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.33490586280822754
23,Facenet512,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.49216794967651367
18,Facenet512,ArcFace,celeba_pairs,dodging_attack,ATT,vanilla,0.3910359740257263
18,Facenet512,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.3329614996910095
18,Facenet512,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.2289804369211197
18,Facenet512,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.3709380030632019
27,Facenet512,ArcFace,celeba_pairs,dodging_attack,ATT,vanilla,0.5042096972465515
27,Facenet512,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.25529706478118896
27,Facenet512,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.12266537547111511
27,Facenet512,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.5258889198303223
28,Facenet512,ArcFace,celeba_pairs,dodging_attack,ATT,vanilla,0.14053645730018616
28,Facenet512,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.1910068243741989
28,Facenet512,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.4201897382736206
28,Facenet512,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.25481343269348145
30,Facenet512,ArcFace,celeba_pairs,dodging_attack,ATT,vanilla,0.26742905378341675
30,Facenet512,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.22611084580421448
30,Facenet512,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.06253588944673538
30,Facenet512,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.3381624221801758
33,Facenet512,ArcFace,celeba_pairs,dodging_attack,ATT,vanilla,0.7218713760375977
33,Facenet512,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.5091354846954346
33,Facenet512,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.5415091514587402
33,Facenet512,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.48496878147125244
1,Facenet512,ArcFace,vggface2_pairs,dodging_attack,ATT,vanilla,0.16971835494041443
1,Facenet512,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,0.3172491192817688
1,Facenet512,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.19740234315395355
1,Facenet512,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.4109920859336853
4,Facenet512,ArcFace,vggface2_pairs,dodging_attack,ATT,vanilla,0.029906030744314194
4,Facenet512,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,0.015086708590388298
4,Facenet512,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.13205182552337646
4,Facenet512,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.1922326683998108
7,Facenet512,ArcFace,vggface2_pairs,dodging_attack,ATT,vanilla,0.35078877210617065
7,Facenet512,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,0.11547857522964478
7,Facenet512,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.15363506972789764
7,Facenet512,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.3013365864753723
10,Facenet512,ArcFace,vggface2_pairs,dodging_attack,ATT,vanilla,0.4523376524448395
10,Facenet512,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,0.2454317808151245
10,Facenet512,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.26151376962661743
10,Facenet512,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.4745696783065796
11,Facenet512,ArcFace,vggface2_pairs,dodging_attack,ATT,vanilla,0.18058551847934723
11,Facenet512,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,0.10341519862413406
11,Facenet512,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.21725770831108093
11,Facenet512,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.28893688321113586
0,ArcFace,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,0.6716295480728149
0,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,0.13206888735294342
0,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.3201407790184021
0,ArcFace,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.33261847496032715
32,ArcFace,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,0.43935346603393555
32,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,0.1606990396976471
32,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.28142625093460083
32,ArcFace,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.08943086862564087
48,ArcFace,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,-0.005477658472955227
48,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,0.3369019031524658
48,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.11206775903701782
48,ArcFace,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.1390334963798523
57,ArcFace,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,0.39258402585983276
57,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,0.011886817403137684
57,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.2823812961578369
57,ArcFace,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.0846027284860611
60,ArcFace,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,0.44482311606407166
60,ArcFace,GhostFaceNet,lfw_pairs,impersonation_attack,ATT,vanilla,-0.010292906314134598
60,ArcFace,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.15804043412208557
60,ArcFace,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,-0.031333863735198975
2,ArcFace,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,0.38095927238464355
2,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,0.0402800515294075
2,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.18071433901786804
2,ArcFace,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.21774780750274658
8,ArcFace,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,0.02361782267689705
8,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,0.140233114361763
8,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.1708446592092514
8,ArcFace,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.0997457504272461
12,ArcFace,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,0.17067313194274902
12,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,0.017590440809726715
12,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.09266979992389679
12,ArcFace,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.13392102718353271
26,ArcFace,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,-0.09462632238864899
26,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,0.07712925970554352
26,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.04576404020190239
26,ArcFace,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.06154365837574005
34,ArcFace,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,0.3785178065299988
34,ArcFace,GhostFaceNet,celeba_pairs,impersonation_attack,ATT,vanilla,0.07884412258863449
34,ArcFace,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.16089622676372528
34,ArcFace,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.07917807996273041
3,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,ATT,vanilla,0.11292865872383118
3,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,0.15588825941085815
3,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.1268898844718933
3,ArcFace,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.14384658634662628
5,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,ATT,vanilla,-0.0628928393125534
5,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,0.1290884166955948
5,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.07630452513694763
5,ArcFace,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.08981245756149292
17,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,ATT,vanilla,0.4136697053909302
17,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,-0.008904249407351017
17,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.2845810055732727
17,ArcFace,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.08388608694076538
19,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,ATT,vanilla,0.13481535017490387
19,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,0.09402167052030563
19,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.11651785671710968
19,ArcFace,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.0057250140234827995
21,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,ATT,vanilla,-0.03220170736312866
21,ArcFace,GhostFaceNet,vggface2_pairs,impersonation_attack,ATT,vanilla,0.1497899889945984
21,ArcFace,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.12381422519683838
21,ArcFace,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.038049690425395966
6,ArcFace,Facenet512,lfw_pairs,dodging_attack,ATT,vanilla,0.3929906487464905
6,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.4072006940841675
6,ArcFace,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.416994571685791
6,ArcFace,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.33849477767944336
9,ArcFace,Facenet512,lfw_pairs,dodging_attack,ATT,vanilla,0.7437014579772949
9,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.20283088088035583
9,ArcFace,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.42855244874954224
9,ArcFace,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.4834800958633423
15,ArcFace,Facenet512,lfw_pairs,dodging_attack,ATT,vanilla,0.4365220069885254
15,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.25168484449386597
15,ArcFace,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.33316606283187866
15,ArcFace,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.28935950994491577
16,ArcFace,Facenet512,lfw_pairs,dodging_attack,ATT,vanilla,0.6594783067703247
16,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.08033512532711029
16,ArcFace,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.3697410225868225
16,ArcFace,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.43487995862960815
23,ArcFace,Facenet512,lfw_pairs,dodging_attack,ATT,vanilla,0.6342869997024536
23,ArcFace,GhostFaceNet,lfw_pairs,dodging_attack,ATT,vanilla,0.26263922452926636
23,ArcFace,VGG-Face,lfw_pairs,dodging_attack,ATT,vanilla,0.4767206311225891
23,ArcFace,IR152,lfw_pairs,dodging_attack,ATT,vanilla,0.5170204639434814
18,ArcFace,Facenet512,celeba_pairs,dodging_attack,ATT,vanilla,0.4511398673057556
18,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.3143496811389923
18,ArcFace,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.3834224343299866
18,ArcFace,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.40218669176101685
27,ArcFace,Facenet512,celeba_pairs,dodging_attack,ATT,vanilla,0.695375919342041
27,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.2722353935241699
27,ArcFace,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.3115074634552002
27,ArcFace,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.5530884265899658
28,ArcFace,Facenet512,celeba_pairs,dodging_attack,ATT,vanilla,0.5422720313072205
28,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.20784229040145874
28,ArcFace,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.5428783893585205
28,ArcFace,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.5259412527084351
30,ArcFace,Facenet512,celeba_pairs,dodging_attack,ATT,vanilla,0.30138081312179565
30,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.2586984634399414
30,ArcFace,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.10973374545574188
30,ArcFace,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.3011932671070099
33,ArcFace,Facenet512,celeba_pairs,dodging_attack,ATT,vanilla,0.8326491713523865
33,ArcFace,GhostFaceNet,celeba_pairs,dodging_attack,ATT,vanilla,0.5374820232391357
33,ArcFace,VGG-Face,celeba_pairs,dodging_attack,ATT,vanilla,0.5513423681259155
33,ArcFace,IR152,celeba_pairs,dodging_attack,ATT,vanilla,0.5672373175621033
1,ArcFace,Facenet512,vggface2_pairs,dodging_attack,ATT,vanilla,0.6933351755142212
1,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,0.2956557869911194
1,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.3139287829399109
1,ArcFace,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.5318830013275146
4,ArcFace,Facenet512,vggface2_pairs,dodging_attack,ATT,vanilla,0.4201422929763794
4,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,-0.06350421905517578
4,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.19265691936016083
4,ArcFace,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.2900550961494446
7,ArcFace,Facenet512,vggface2_pairs,dodging_attack,ATT,vanilla,0.3913210332393646
7,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,0.1948089301586151
7,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.1812380999326706
7,ArcFace,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.337729811668396
10,ArcFace,Facenet512,vggface2_pairs,dodging_attack,ATT,vanilla,0.6644447445869446
10,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,0.24682000279426575
10,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.37464243173599243
10,ArcFace,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.5748158693313599
11,ArcFace,Facenet512,vggface2_pairs,dodging_attack,ATT,vanilla,0.6675014495849609
11,ArcFace,GhostFaceNet,vggface2_pairs,dodging_attack,ATT,vanilla,0.12685748934745789
11,ArcFace,VGG-Face,vggface2_pairs,dodging_attack,ATT,vanilla,0.4096997082233429
11,ArcFace,IR152,vggface2_pairs,dodging_attack,ATT,vanilla,0.32729434967041016
0,GhostFaceNet,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,0.33846786618232727
0,GhostFaceNet,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.30730730295181274
0,GhostFaceNet,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.16451743245124817
0,GhostFaceNet,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.14083226025104523
32,GhostFaceNet,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,0.31310680508613586
32,GhostFaceNet,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.1799129694700241
32,GhostFaceNet,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.19677740335464478
32,GhostFaceNet,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.07134823501110077
48,GhostFaceNet,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,-0.13443854451179504
48,GhostFaceNet,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.13363783061504364
48,GhostFaceNet,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.06024637818336487
48,GhostFaceNet,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.055761292576789856
57,GhostFaceNet,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,0.24527013301849365
57,GhostFaceNet,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.32273218035697937
57,GhostFaceNet,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.167870432138443
57,GhostFaceNet,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.06787465512752533
60,GhostFaceNet,Facenet512,lfw_pairs,impersonation_attack,ATT,vanilla,0.13992425799369812
60,GhostFaceNet,ArcFace,lfw_pairs,impersonation_attack,ATT,vanilla,0.1338507980108261
60,GhostFaceNet,VGG-Face,lfw_pairs,impersonation_attack,ATT,vanilla,0.07603887468576431
60,GhostFaceNet,IR152,lfw_pairs,impersonation_attack,ATT,vanilla,0.024211261421442032
2,GhostFaceNet,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,0.22049951553344727
2,GhostFaceNet,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.21080772578716278
2,GhostFaceNet,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.12090953439474106
2,GhostFaceNet,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.16523738205432892
8,GhostFaceNet,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,0.09555546939373016
8,GhostFaceNet,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.30465853214263916
8,GhostFaceNet,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.10451847314834595
8,GhostFaceNet,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.15468014776706696
12,GhostFaceNet,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,0.14237505197525024
12,GhostFaceNet,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.23815374076366425
12,GhostFaceNet,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.07855198532342911
12,GhostFaceNet,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.12491680681705475
26,GhostFaceNet,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,-0.22278517484664917
26,GhostFaceNet,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.07225080579519272
26,GhostFaceNet,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.026387590914964676
26,GhostFaceNet,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.07511591911315918
34,GhostFaceNet,Facenet512,celeba_pairs,impersonation_attack,ATT,vanilla,0.07069636136293411
34,GhostFaceNet,ArcFace,celeba_pairs,impersonation_attack,ATT,vanilla,0.16830745339393616
34,GhostFaceNet,VGG-Face,celeba_pairs,impersonation_attack,ATT,vanilla,0.1158408522605896
34,GhostFaceNet,IR152,celeba_pairs,impersonation_attack,ATT,vanilla,0.07265779376029968
3,GhostFaceNet,Facenet512,vggface2_pairs,impersonation_attack,ATT,vanilla,0.02374243177473545
3,GhostFaceNet,ArcFace,vggface2_pairs,impersonation_attack,ATT,vanilla,0.19995304942131042
3,GhostFaceNet,VGG-Face,vggface2_pairs,impersonation_attack,ATT,vanilla,0.0840514600276947
3,GhostFaceNet,IR152,vggface2_pairs,impersonation_attack,ATT,vanilla,0.14071768522262573
5,GhostFaceNet,Facenet512,vggface2_pairs,impersonation_attack,ATT,vanilla,-0.031650908291339874
