row_id,dataset,attack_type,victim_model,similarity
5,vggface2_pairs,impersonation_attack,Facenet512,-0.09365602448824983
17,vggface2_pairs,impersonation_attack,Facenet512,0.5443332712996914
19,vggface2_pairs,impersonation_attack,Facenet512,-0.013576834281797396
21,vggface2_pairs,impersonation_attack,Facenet512,0.01747315313095068
6,lfw_pairs,dodging_attack,Facenet512,0.3046903488288618
9,lfw_pairs,dodging_attack,Facenet512,0.7991331479058021
15,lfw_pairs,dodging_attack,Facenet512,0.4121156780908712
16,lfw_pairs,dodging_attack,Facenet512,0.7572781862973363
23,lfw_pairs,dodging_attack,Facenet512,0.5902062970467773
18,celeba_pairs,dodging_attack,Facenet512,0.465145950332715
27,celeba_pairs,dodging_attack,Facenet512,0.5202197318493488
28,celeba_pairs,dodging_attack,Facenet512,0.7679410499663764
30,celeba_pairs,dodging_attack,Facenet512,0.49411022229207524
33,celeba_pairs,dodging_attack,Facenet512,0.7982625395191302
1,vggface2_pairs,dodging_attack,Facenet512,0.5155570279467179
4,vggface2_pairs,dodging_attack,Facenet512,0.23603197913458868
7,vggface2_pairs,dodging_attack,Facenet512,0.5010957344459962
10,vggface2_pairs,dodging_attack,Facenet512,0.7523914398657892
11,vggface2_pairs,dodging_attack,Facenet512,0.5762724479342851
0,lfw_pairs,impersonation_attack,GhostFaceNet,0.13283117845060724
32,lfw_pairs,impersonation_attack,GhostFaceNet,0.1290219808799213
48,lfw_pairs,impersonation_attack,GhostFaceNet,0.060057385839256884
57,lfw_pairs,impersonation_attack,GhostFaceNet,0.13123548093768797
60,lfw_pairs,impersonation_attack,GhostFaceNet,0.046877370447390196
2,celeba_pairs,impersonation_attack,GhostFaceNet,0.22924603895675802
8,celeba_pairs,impersonation_attack,GhostFaceNet,0.09721573213219999
12,celeba_pairs,impersonation_attack,GhostFaceNet,0.10357825444042297
26,celeba_pairs,impersonation_attack,GhostFaceNet,0.10729994188338592
34,celeba_pairs,impersonation_attack,GhostFaceNet,0.2810886699773372
3,vggface2_pairs,impersonation_attack,GhostFaceNet,0.16184943512100522
5,vggface2_pairs,impersonation_attack,GhostFaceNet,0.20405161584033055
17,vggface2_pairs,impersonation_attack,GhostFaceNet,0.14602040699903848
19,vggface2_pairs,impersonation_attack,GhostFaceNet,0.03653595540339415
21,vggface2_pairs,impersonation_attack,GhostFaceNet,0.19092407602939554
6,lfw_pairs,dodging_attack,GhostFaceNet,0.10326682632408413
9,lfw_pairs,dodging_attack,GhostFaceNet,0.21725977592683904
15,lfw_pairs,dodging_attack,GhostFaceNet,0.23119850424571897
16,lfw_pairs,dodging_attack,GhostFaceNet,0.1943235452484754
23,lfw_pairs,dodging_attack,GhostFaceNet,0.2193249327159973
18,celeba_pairs,dodging_attack,GhostFaceNet,0.44969082415070327
27,celeba_pairs,dodging_attack,GhostFaceNet,0.49348585630161274
28,celeba_pairs,dodging_attack,GhostFaceNet,0.2956322603488312
30,celeba_pairs,dodging_attack,GhostFaceNet,0.2813879197145202
33,celeba_pairs,dodging_attack,GhostFaceNet,0.2049975555661628
1,vggface2_pairs,dodging_attack,GhostFaceNet,0.2766278654526937
4,vggface2_pairs,dodging_attack,GhostFaceNet,-0.0015005198212437306
7,vggface2_pairs,dodging_attack,GhostFaceNet,0.17098298330813855
10,vggface2_pairs,dodging_attack,GhostFaceNet,0.30762410654275757
11,vggface2_pairs,dodging_attack,GhostFaceNet,0.2916190140832853
0,lfw_pairs,impersonation_attack,VGG-Face,0.3841955805685843
32,lfw_pairs,impersonation_attack,VGG-Face,0.3820899950911357
48,lfw_pairs,impersonation_attack,VGG-Face,0.16353450149293938
57,lfw_pairs,impersonation_attack,VGG-Face,0.3953690915855863
60,lfw_pairs,impersonation_attack,VGG-Face,0.17949086276607357
2,celeba_pairs,impersonation_attack,VGG-Face,0.2793468273919451
8,celeba_pairs,impersonation_attack,VGG-Face,0.2229174347095421
12,celeba_pairs,impersonation_attack,VGG-Face,0.13545048649431896
26,celeba_pairs,impersonation_attack,VGG-Face,0.07177415822583622
34,celeba_pairs,impersonation_attack,VGG-Face,0.20304925661599874
3,vggface2_pairs,impersonation_attack,VGG-Face,0.1481028723278408
5,vggface2_pairs,impersonation_attack,VGG-Face,0.05569949544301842
17,vggface2_pairs,impersonation_attack,VGG-Face,0.27763871531513634
19,vggface2_pairs,impersonation_attack,VGG-Face,0.19342891018882738
21,vggface2_pairs,impersonation_attack,VGG-Face,0.09033187106576122
6,lfw_pairs,dodging_attack,VGG-Face,0.3520606703856032
9,lfw_pairs,dodging_attack,VGG-Face,0.4243532694743588
15,lfw_pairs,dodging_attack,VGG-Face,0.5278459396458269
16,lfw_pairs,dodging_attack,VGG-Face,0.39528722105318004
23,lfw_pairs,dodging_attack,VGG-Face,0.4966371517671542
18,celeba_pairs,dodging_attack,VGG-Face,0.3341790717246222
27,celeba_pairs,dodging_attack,VGG-Face,0.29357915726652806
28,celeba_pairs,dodging_attack,VGG-Face,0.6022604928091858
30,celeba_pairs,dodging_attack,VGG-Face,0.11469870308266278
33,celeba_pairs,dodging_attack,VGG-Face,0.5990322805850241
1,vggface2_pairs,dodging_attack,VGG-Face,0.23468994739894544
4,vggface2_pairs,dodging_attack,VGG-Face,0.25403639052994925
7,vggface2_pairs,dodging_attack,VGG-Face,0.18964049306793831
10,vggface2_pairs,dodging_attack,VGG-Face,0.37072881588253825
11,vggface2_pairs,dodging_attack,VGG-Face,0.38076079662454554
